With 1 reducers

clothing	;4.56030217199E9;911487
video games	;4.5601083075E9;913326
baby products	;4.54143536225E9;907186
beauty products	;4.53387432785E9;906417
gardening tools	;4.53188083774E9;905841
automotive	;4.52986131074E9;904962
music instruments	;4.51229446614E9;902389
furniture	;4.50398676316E9;900244
electronics	;4.49752663104E9;903266
pet supplies	;4.48874173038E9;896724
stationery	;4.4817949124E9;898265
home appliances	;4.47388836173E9;895815
sports equipment	;4.46938781234E9;894287
groceries	;4.46691523097E9;895470
footwear	;4.46557498336E9;894424
jewelry	;4.46382367079E9;893980
office equipment	;4.46356494738E9;892370
toys	;4.46245365412E9;892741
books	;4.45762082595E9;890948
health & wellness	;4.45408289249E9;890475

Reducers=1


With 4 reducers

video games	;4.5601083075E9;913326
baby products	;4.54143536225E9;907186
furniture	;4.50398676316E9;900244
home appliances	;4.47388836173E9;895815
sports equipment	;4.46938781234E9;894287
music instruments	;4.51229446614E9;902389
stationery	;4.48179491239E9;898265
toys	;4.46245365412E9;892741
clothing	;4.56030217199E9;911487
beauty products	;4.53387432785E9;906417
gardening tools	;4.53188083774E9;905841
automotive	;4.52986131074E9;904962
health & wellness	;4.45408289249E9;890475
electronics	;4.49752663104E9;903266
pet supplies	;4.48874173038E9;896724
groceries	;4.46691523097E9;895470
footwear	;4.46557498336E9;894424
jewelry	;4.46382367079E9;893980
office equipment	;4.46356494738E9;892370
books	;4.45762082595E9;890948

Reducers=4


With 12 reducers

video games	;4.5601083075E9;913326
automotive	;4.52986131074E9;904962
footwear	;4.46557498336E9;894424
jewelry	;4.46382367079E9;893980
baby products	;4.54143536225E9;907186
home appliances	;4.47388836173E9;895815
sports equipment	;4.46938781234E9;894287
music instruments	;4.51229446614E9;902389
beauty products	;4.53387432785E9;906417
gardening tools	;4.53188083774E9;905841
health & wellness	;4.45408289249E9;890475
pet supplies	;4.48874173038E9;896724
books	;4.45762082595E9;890948
furniture	;4.50398676316E9;900244
stationery	;4.48179491239E9;898265
toys	;4.46245365412E9;892741
clothing	;4.56030217199E9;911487
electronics	;4.49752663104E9;903266
groceries	;4.46691523097E9;895470
office equipment	;4.46356494738E9;892370

Reducers=12


With 36 reducers

video games	;4.5601083075E9;913326
automotive	;4.52986131074E9;904962
baby products	;4.54143536225E9;907186
home appliances	;4.47388836173E9;895815
sports equipment	;4.46938781234E9;894287
gardening tools	;4.53188083774E9;905841
health & wellness	;4.45408289249E9;890475
toys	;4.46245365412E9;892741
footwear	;4.46557498336E9;894424
beauty products	;4.53387432785E9;906417
pet supplies	;4.48874173038E9;896724
furniture	;4.50398676316E9;900244
electronics	;4.49752663104E9;903266
office equipment	;4.46356494738E9;892370
jewelry	;4.46382367079E9;893980
music instruments	;4.51229446614E9;902389
stationery	;4.4817949124E9;898265
books	;4.45762082595E9;890948
clothing	;4.56030217199E9;911487
groceries	;4.46691523097E9;895470

Reducers=36


